search_time	n	shmax	slmcut	expansions	ehmax	elmcut
probBLOCKS-4-0.pddl	1	0.01	0.01	probBLOCKS-4-0.pddl	77	77
probBLOCKS-4-1.pddl	2	0.01	0.01	probBLOCKS-4-1.pddl	38	38
probBLOCKS-4-2.pddl	3	0.01	0.01	probBLOCKS-4-2.pddl	69	69
probBLOCKS-5-0.pddl	4	0.0124	0.0146	probBLOCKS-5-0.pddl	327	327
probBLOCKS-5-1.pddl	5	0.0138	0.016	probBLOCKS-5-1.pddl	520	519
probBLOCKS-5-2.pddl	6	0.0124	0.0164	probBLOCKS-5-2.pddl	386	386
probBLOCKS-6-0.pddl	7	0.0337	0.0583	probBLOCKS-6-0.pddl	1573	1573
probBLOCKS-6-1.pddl	8	0.0673	0.1458	probBLOCKS-6-1.pddl	5710	5690
probBLOCKS-6-2.pddl	9	0.0465	0.085	probBLOCKS-6-2.pddl	2772	2771
probBLOCKS-7-0.pddl	10	0.1127	0.2324	probBLOCKS-7-0.pddl	5902	5901
probBLOCKS-7-1.pddl	11	0.8533	2.8209	probBLOCKS-7-1.pddl	87835	87578
probBLOCKS-7-2.pddl	12	0.4359	1.386	probBLOCKS-7-2.pddl	41213	41195
probBLOCKS-8-0.pddl	13	6.8371	26.6599	probBLOCKS-8-0.pddl	635569	634811
probBLOCKS-8-1.pddl	14	9.9641	39.7175	probBLOCKS-8-1.pddl	933590	932077
probBLOCKS-8-2.pddl	15	4.6123	17.7035	probBLOCKS-8-2.pddl	427926	427685
probBLOCKS-9-0.pddl	16	60.0975	273.175	probBLOCKS-9-0.pddl	4845380	4841422
probBLOCKS-9-1.pddl	17	5.6568	25.2974	probBLOCKS-9-1.pddl	433598	433566
probBLOCKS-9-2.pddl	18	12.6417	57.1426	probBLOCKS-9-2.pddl	1007174	1006747
